Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,wfef
1514232000,2017-12-25 08-PM,BTCUSD,13826,13860,13425,13475,2366.31,32221300.46,24996
1514235600,2017-12-25 09-PM,BTCUSD,13475,13643,13353,13546,1464.53,19796107.02,24995
1514239200,2017-12-25 10-PM,BTCUSD,13546,13592,13375,13529,987.68,13297928.24,24994
1514242800,2017-12-25 11-PM,BTCUSD,13529,13748,13529,13633,1358.1,18516533.4,24993
1514246400,2017-12-26 12-AM,BTCUSD,13633,13881,13620,13723,940.26,12950334.89,24992
1514250000,2017-12-26 01-AM,BTCUSD,13723,13750,13531,13660,971.85,13265672.26,24991
1514253600,2017-12-26 02-AM,BTCUSD,13660,13833,13607,13697,755.44,10373659.74,24990
1514257200,2017-12-26 03-AM,BTCUSD,13697,14490,13688,14348.14,3194.73,45189004.44,24989
1514260800,2017-12-26 04-AM,BTCUSD,14348.14,14766,14271,14757.78,4662.56,68122630.93,24988
1514264400,2017-12-26 05-AM,BTCUSD,14757.78,15399,14717,14889,6001.47,90290296.98,24987
1514268000,2017-12-26 06-AM,BTCUSD,14880,15248,14750,15195,3735.73,56248131.91,24986
1514271600,2017-12-26 07-AM,BTCUSD,15195,15197,14838,15088,1755.3,26354596.74,24985
1514275200,2017-12-26 08-AM,BTCUSD,15088,15190,14770,14782,1509.16,22623915.71,24984
1514278800,2017-12-26 09-AM,BTCUSD,14782,15199,14718,15137,2360.2,35380519.12,24983
1514282400,2017-12-26 10-AM,BTCUSD,15137,15248,14969,15022,1590.15,24072770.56,24982
1514286000,2017-12-26 11-AM,BTCUSD,15022,15059,14652,14768,2691.25,39828406.38,24981
1514289600,2017-12-26 12-PM,BTCUSD,14768,14999,14561,14997,3339,49582524.81,24980
1514293200,2017-12-26 01-PM,BTCUSD,14997,15245,14952,15087,3011.92,45445914.79,24979
1514296800,2017-12-26 02-PM,BTCUSD,15087,15688,15086,15684,5047.88,78007164.25,24978
1514300400,2017-12-26 03-PM,BTCUSD,15684,15748,15415,15643,2747.52,42861416.46,24977
1514304000,2017-12-26 04-PM,BTCUSD,15643,15950,15589,15908,3062.09,48531980.18,24976
1514307600,2017-12-26 05-PM,BTCUSD,15908,15909,15301,15650,2485.53,38926009.1,24975
1514311200,2017-12-26 06-PM,BTCUSD,15650,15749,15414,15592,1604.93,25063193.78,24974
1514314800,2017-12-26 07-PM,BTCUSD,15592,15841,15589,15787,1545.09,24326663.22,24973
1514318400,2017-12-26 08-PM,BTCUSD,15787,16060,15610,15742,3385.03,53835421.2,24972
1514322000,2017-12-26 09-PM,BTCUSD,15722,15896,15641,15850,1517.11,23914693.32,24971
1514325600,2017-12-26 10-PM,BTCUSD,15850,15949,15550,15686,1583.65,24902138.1,24970
1514329200,2017-12-26 11-PM,BTCUSD,15686,15750,15500,15680,1671.73,26082117.86,24969
1514332800,2017-12-27 12-AM,BTCUSD,15680,15747,15500,15654,1548.5,24224809.57,24968
1514336400,2017-12-27 01-AM,BTCUSD,15654,15960,15654,15868,1479.07,23452634.96,24967
1514340000,2017-12-27 02-AM,BTCUSD,15868,15873,15674,15781,1106.05,17446918.21,24966
1514343600,2017-12-27 03-AM,BTCUSD,15781,15840,15676,15824,937.9,14782855.71,24965
1514347200,2017-12-27 04-AM,BTCUSD,15824,16449,15823,16325,2997.01,48633406.03,24964
1514350800,2017-12-27 05-AM,BTCUSD,16325,16409,16201,16380,1331.98,21718877.26,24963
1514354400,2017-12-27 06-AM,BTCUSD,16380,16494,16331,16388,1804.57,29615581.76,24962
1514358000,2017-12-27 07-AM,BTCUSD,16388,16440,15955,16170,2450.03,39657202.89,24961
1514361600,2017-12-27 08-AM,BTCUSD,16170,16246,16027.58,16046,1300.71,21020944.44,24960
1514365200,2017-12-27 09-AM,BTCUSD,16046,16221,15680,15815,2606.61,41492586.16,24959
1514368800,2017-12-27 10-AM,BTCUSD,15815,15936,15410,15580,2831.87,44179836.69,24958
1514372400,2017-12-27 11-AM,BTCUSD,15580,15758,15511,15647.54,1508.57,23613774.09,24957
1514376000,2017-12-27 12-PM,BTCUSD,15647.54,15998,15647,15901,1130.26,17905882.4,24956
1514379600,2017-12-27 01-PM,BTCUSD,15901,15902,15548,15757,1323.38,20788471.73,24955
1514383200,2017-12-27 02-PM,BTCUSD,15757,15800,15142,15240,2984.19,45930547.66,24954
1514386800,2017-12-27 03-PM,BTCUSD,15240,15350,15015,15269,3068.57,46582418.67,24953
1514390400,2017-12-27 04-PM,BTCUSD,15269,15381,14630,14725,4693.4,69942507.34,24952
1514394000,2017-12-27 05-PM,BTCUSD,14725,14952,14454,14859,4432.15,65293775.59,24951
1514397600,2017-12-27 06-PM,BTCUSD,14859,15147,14735,14998,3201.29,47951844.32,24950
1514401200,2017-12-27 07-PM,BTCUSD,14998,15249,14740,14818,2199.67,33032465.49,24949
1514404800,2017-12-27 08-PM,BTCUSD,14818,14965,14540,14732,2772.69,40917272.31,24948
1514408400,2017-12-27 09-PM,BTCUSD,14732,15286,14659,15210,2534.47,38183533.46,24947
1514412000,2017-12-27 10-PM,BTCUSD,15210,15445,15116,15264,2162.72,33165221.54,24946
1514415600,2017-12-27 11-PM,BTCUSD,15264,15480,15186,15375,1295.98,19903538.92,24945
1514419200,2017-12-28 12-AM,BTCUSD,15375,15446,15001,15148,1551.76,23626675.06,24944
1514422800,2017-12-28 01-AM,BTCUSD,15148,15420,15108,15418,957.15,14610114.93,24943
1514426400,2017-12-28 02-AM,BTCUSD,15418,15468,13870,14113,5565.27,80845183.35,24942
1514430000,2017-12-28 03-AM,BTCUSD,14113,14499,13713,14256,7510.63,106512904.9,24941
1514433600,2017-12-28 04-AM,BTCUSD,14256,14590,13975,14287,4603.76,65963770.54,24940
1514437200,2017-12-28 05-AM,BTCUSD,14287,14370,13550,13642,5639.34,78053529.25,24939
1514440800,2017-12-28 06-AM,BTCUSD,13642,14020,13589,13719,3960.86,54725056.02,24938
1514444400,2017-12-28 07-AM,BTCUSD,13719,14222,13716,14043,2911.19,40887457.92,24937
1514448000,2017-12-28 08-AM,BTCUSD,14043,14170,13835,14133,1920.08,26906224.7,24936
1514451600,2017-12-28 09-AM,BTCUSD,14133,14379,14063,14150,1396.01,19859303.98,24935
1514455200,2017-12-28 10-AM,BTCUSD,14150,14265,13251,13257,2666,36878399,24934
1514458800,2017-12-28 11-AM,BTCUSD,13260,13747,13145,13721,4238.27,57160785.32,24933
1514462400,2017-12-28 12-PM,BTCUSD,13721,13978,13530,13848,2382.93,32768956.66,24932
1514466000,2017-12-28 01-PM,BTCUSD,13848,14074,13793,13971,2068.71,28852847.03,24931
1514469600,2017-12-28 02-PM,BTCUSD,13971,14185,13657,14154,2670.66,37210867.6,24930
1514473200,2017-12-28 03-PM,BTCUSD,14154,14414,14056,14097,2492.8,35476975.65,24929
1514476800,2017-12-28 04-PM,BTCUSD,14097,14245,13751,13826,2684.45,37657869.72,24928
1514480400,2017-12-28 05-PM,BTCUSD,13826,14073,13606,14034,2344.76,32512759.01,24927
1514484000,2017-12-28 06-PM,BTCUSD,14034,14048.77,13333,13411,3549.18,48510939.81,24926
1514487600,2017-12-28 07-PM,BTCUSD,13411,13830,13411,13817,2012.66,27474597.09,24925
1514491200,2017-12-28 08-PM,BTCUSD,13817,14043,13751,13780,1629.42,22633342.52,24924
1514494800,2017-12-28 09-PM,BTCUSD,13780,13967,13611,13851,1728.39,23833054.4,24923
1514498400,2017-12-28 10-PM,BTCUSD,13851,14137,13800,13923,1699.64,23759780.82,24922
1514502000,2017-12-28 11-PM,BTCUSD,13923,14333,13900,14323,1444.9,20390545.02,24921
1514505600,2017-12-29 12-AM,BTCUSD,14323,14389,14161,14220,1362.3,19444139.28,24920
1514509200,2017-12-29 01-AM,BTCUSD,14220,14310,14055,14282,1600.27,22694293.41,24919
1514512800,2017-12-29 02-AM,BTCUSD,14282,14940,14280,14901,3637.53,53502739.31,24918
