Datetime,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2021-03-11 07:00:00+00:00,10.083465576171877,1016.0196695603634,32.545441180657974,687.848833753872,328.1708358064913,sell,,10.083465576171877
2021-03-11 07:30:00+00:00,9.97504425048828,1012.4897115201923,33.88695142662279,674.465871525483,338.02383999470925,buy,9.97504425048828,
2021-03-11 08:00:00+00:00,9.833213806152344,1007.6817845258952,35.64183675999023,657.2079832209312,350.473801304964,buy,9.833213806152344,
2021-03-11 08:30:00+00:00,9.893438339233398,1009.8279288904848,34.89667128929257,664.5798632453724,345.2480656451125,sell,,9.893438339233398
2021-03-11 09:00:00+00:00,9.888782501220703,1009.6653986752233,34.954278539141285,664.0101407145686,345.6552579606547,buy,9.888782501220703,
2021-03-11 09:30:00+00:00,9.81700325012207,1007.1555348581417,35.842411940844045,655.2904603426615,351.8650745154801,buy,9.81700325012207,
2021-03-11 10:00:00+00:00,9.913681030273438,1010.6201067396518,34.64620601168325,667.148671430682,343.4714353089697,sell,,9.913681030273438
2021-03-11 10:30:00+00:00,9.985613822937012,1013.1118607168833,33.75617282152788,676.0357547807838,337.0761059360995,sell,,9.985613822937012
2021-03-11 11:00:00+00:00,10.072280883789062,1016.0368689544063,32.6838307394916,686.8361453880277,329.20072356637854,sell,,10.072280883789062
2021-03-11 11:30:00+00:00,10.074158668518066,1016.0982304494745,32.660596680714036,687.0701972794868,329.0280331699877,sell,,10.074158668518066
2021-03-11 12:00:00+00:00,10.121543884277344,1017.6455631554213,32.074293644410716,693.0041924763203,324.64137067910093,sell,,10.121543884277344
2021-03-11 12:30:00+00:00,10.154288291931152,1018.6956112009539,31.66914310701715,697.1180021338776,321.57760906707637,sell,,10.154288291931152
2021-03-11 13:00:00+00:00,10.162604331970217,1018.9589207787858,31.566247732440985,698.163634829036,320.79528594974977,sell,,10.162604331970217
2021-03-11 13:30:00+00:00,10.192225456237793,1019.8937617500565,31.199741960154867,701.8989575157156,317.99480423434085,sell,,10.192225456237793
2021-03-11 14:00:00+00:00,10.108255386352539,1017.2728670179451,32.238713845023554,691.3957141449076,325.8771528730375,buy,10.108255386352539,
2021-03-11 14:30:00+00:00,10.098132133483887,1016.9463798801271,32.36397008368478,690.1307336109586,326.81564626916844,buy,10.098132133483887,
2021-03-11 15:00:00+00:00,10.027832984924316,1014.6703480983551,33.2337899967015,681.407452555384,333.26289554297114,buy,10.027832984924316,
2021-03-11 15:30:00+00:00,10.030200004577637,1014.7489984444967,33.20450257471779,681.7011965675641,333.04780187693257,sell,,10.030200004577637
2021-03-11 16:00:00+00:00,10.07221508026123,1016.1438263273114,32.68464493454272,686.9370527246264,329.206773602685,sell,,10.07221508026123
2021-03-11 16:30:00+00:00,10.063623428344727,1015.862904253113,32.79095048839095,685.8671266804499,329.9957775726631,buy,10.063623428344727,
2021-03-11 17:00:00+00:00,10.017578125,1014.3524642653078,33.36067462546495,680.1592999020075,334.1931643633003,buy,10.017578125,
2021-03-11 17:30:00+00:00,10.051729202270508,1015.4915548715998,32.93811919386269,684.4065003027835,331.0850545688163,sell,,10.051729202270508
2021-03-11 18:00:00+00:00,10.058771133422852,1015.7234590178771,32.850988523464736,685.2828839536446,330.44057506423246,sell,,10.058771133422852
2021-03-11 18:30:00+00:00,10.064057350158693,1015.8970835502075,32.78558152102485,685.9411108643104,329.95597268589717,sell,,10.064057350158693
2021-03-11 19:00:00+00:00,10.046431541442873,1015.3189920627984,33.00366779544186,683.749902939369,331.5690891234294,buy,10.046431541442873,
2021-03-11 19:30:00+00:00,10.01333999633789,1014.2264397094041,33.41311350672831,679.6495738303037,334.57686587910035,buy,10.01333999633789,
2021-03-11 20:00:00+00:00,10.091854095458984,1016.8493500213184,32.4416490115328,689.4529615808382,327.3963884404802,sell,,10.091854095458984
