Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2021-03-15 02:00:00+00:00,1884.10400390625,1130.9659156377386,-0.028274854762457835,0.6002672428342303,0.0,1130.9659156377386,buy,1884.10400390625,
2021-03-15 02:30:00+00:00,1885.57470703125,1131.8487305476099,0.8828149098712856,0.6002672428342303,0.0,1131.8487305476099,hold,,
2021-03-15 03:00:00+00:00,1886.349365234375,1132.3137324913387,0.4650019437287938,0.6002672428342303,0.0,1132.3137324913387,hold,,
2021-03-15 03:30:00+00:00,1884.6822509765625,1131.313018412312,-1.000714079026693,0.6002672428342303,0.0,1131.313018412312,hold,,
2021-03-15 04:00:00+00:00,1880.83837890625,1129.005667922858,-2.3073504894539383,0.6002672428342303,0.0,1129.005667922858,hold,,
2021-03-15 04:30:00+00:00,1860.8006591796875,1116.9776811499091,-12.027986772948907,0.6002672428342303,0.0,1116.9776811499091,hold,,
2021-03-15 05:00:00+00:00,1855.7979736328125,1113.97473288992,-3.0029482599891253,0.6002672428342303,0.0,1113.97473288992,hold,,
2021-03-15 05:30:00+00:00,1844.802734375,1107.3746509363302,-6.600081953589779,0.6002672428342303,0.0,1107.3746509363302,hold,,
2021-03-15 06:00:00+00:00,1835.488037109375,1101.7833432908578,-5.591307645472398,0.6002672428342303,0.0,1101.7833432908578,hold,,
2021-03-15 06:30:00+00:00,1809.683837890625,1086.2939277722737,-15.48941551858411,0.6002672428342303,0.0,1086.2939277722737,hold,,
2021-03-15 07:00:00+00:00,1789.0086669921875,1073.883299941942,-12.410627830331805,0.6002672428342303,0.0,1073.883299941942,hold,,
2021-03-15 07:30:00+00:00,1800.751220703125,1080.9319702818393,7.048670339897399,0.6002672428342303,0.0,1080.9319702818393,hold,,
2021-03-15 08:00:00+00:00,1805.838623046875,1083.9857712599105,3.0538009780711945,0.6002672428342303,0.0,1083.9857712599105,hold,,
2021-03-15 08:30:00+00:00,1790.42919921875,1074.7359989049378,-9.24977235497272,0.6002672428342303,0.0,1074.7359989049378,hold,,
2021-03-15 09:00:00+00:00,1766.2254638671875,1060.207289419166,-14.528709485771742,0.6002672428342303,0.0,1060.207289419166,hold,,
2021-03-15 09:30:00+00:00,1757.47802734375,1054.9564898153749,-5.250799603791165,0.6002672428342303,0.0,1054.9564898153749,hold,,
2021-03-15 10:00:00+00:00,1773.233154296875,1064.4137764320303,9.457286616655438,0.6002672428342303,0.0,1064.4137764320303,hold,,
2021-03-15 10:30:00+00:00,1776.1231689453125,1066.1485575567986,1.734781124768233,0.6002672428342303,0.0,1066.1485575567986,hold,,
2021-03-15 11:00:00+00:00,1771.2059326171875,1063.1969016637506,-2.9516558930479277,0.6002672428342303,0.0,1063.1969016637506,hold,,
2021-03-15 11:30:00+00:00,1772.3006591796875,1063.85403015908,0.6571284953292889,0.6002672428342303,0.0,1063.85403015908,hold,,
2021-03-15 12:00:00+00:00,1763.10986328125,1058.3370964456726,-5.5169337134072975,0.6002672428342303,0.0,1058.3370964456726,hold,,
2021-03-15 12:30:00+00:00,1778.257080078125,1067.429474508945,9.092378063272463,0.6002672428342303,0.0,1067.429474508945,hold,,
2021-03-15 13:00:00+00:00,1789.3621826171875,1074.0955037914596,6.666029282514501,0.6002672428342303,0.0,1074.0955037914596,hold,,
2021-03-15 13:30:00+00:00,1789.7947998046875,1074.355189717803,0.2596859263433089,0.6002672428342303,0.0,1074.355189717803,hold,,
2021-03-15 14:00:00+00:00,1800.628173828125,1080.8581092734437,6.502919555640801,0.6002672428342303,0.0,1080.8581092734437,hold,,
2021-03-15 14:30:00+00:00,1782.5804443359375,1070.0246484517504,-10.83346082169328,0.6002672428342303,0.0,1070.0246484517504,hold,,
2021-03-15 15:00:00+00:00,1785.375732421875,1071.7025683240233,1.6779198722729234,0.6002672428342303,0.0,1071.7025683240233,hold,,
2021-03-15 15:30:00+00:00,1772.3919677734375,1063.9088397168973,-7.793728607126013,0.6002672428342303,0.0,1063.9088397168973,hold,,
2021-03-15 16:00:00+00:00,1778.727783203125,1067.7120221759824,3.8031824590850647,0.6002672428342303,0.0,1067.7120221759824,hold,,
2021-03-15 16:30:00+00:00,1775.365478515625,1065.693740811648,-2.0182813643343707,0.6002672428342303,0.0,1065.693740811648,hold,,
2021-03-15 17:00:00+00:00,1762.10693359375,1057.7350706074003,-7.95867020424771,0.6002672428342303,0.0,1057.7350706074003,hold,,
2021-03-15 17:30:00+00:00,1770.0086669921875,1062.4782223280915,4.74315172069123,0.6002672428342303,0.0,1062.4782223280915,hold,,
