Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell,bechmark,benchmark
2018-11-23,39.150001525878906,956.6822364557339,-42.619086782646946,0.0,956.6822364557339,0.0,sell,,39.150001525878906,2632.56005859375,2632.56005859375
2018-11-26,38.88999938964844,956.6822364557339,0.0,0.0,956.6822364557339,0.0,hold,,,2673.449951171875,2673.449951171875
2018-11-27,38.40999984741211,956.6822364557339,0.0,0.0,956.6822364557339,0.0,hold,,,2682.169921875,2682.169921875
2018-11-28,39.68000030517578,956.6822364557339,0.0,0.0,956.6822364557339,0.0,hold,,,2743.7900390625,2743.7900390625
2018-11-29,39.220001220703125,956.6822364557339,0.0,0.0,956.6822364557339,0.0,hold,,,2737.800048828125,2737.800048828125
2018-11-30,38.65999984741211,956.6344023439112,-0.047834111822680825,24.744811332635017,0.0,956.6344023439112,buy,38.65999984741211,,2760.169921875,2760.169921875
2018-12-03,40.59000015258789,1004.3918957674139,47.75749342350264,24.744811332635017,0.0,1004.3918957674139,hold,,,2790.3701171875,2790.3701171875
2018-12-04,40.11000061035156,992.5143976550248,-11.877498112389048,24.744811332635017,0.0,992.5143976550248,hold,,,2700.06005859375,2700.06005859375
2018-12-06,38.88999938964844,962.3256976231415,-30.188700031883286,24.744811332635017,0.0,962.3256976231415,hold,,,2695.949951171875,2695.949951171875
2018-12-07,38.77000045776367,959.3563466935353,-2.9693509296062075,24.744811332635017,0.0,959.3563466935353,hold,,,2633.080078125,2633.080078125
2018-12-10,38.810001373291016,960.250127185212,0.8937804916766936,0.0,960.250127185212,0.0,sell,,38.810001373291016,2637.719970703125,2637.719970703125
2018-12-11,39.540000915527344,960.2021146788528,-0.04801250635921406,24.284322014311886,0.0,960.2021146788528,buy,39.540000915527344,,2636.780029296875,2636.780029296875
2018-12-12,40.34000015258789,979.6295537628349,19.427439083982108,24.284322014311886,0.0,979.6295537628349,hold,,,2651.070068359375,2651.070068359375
2018-12-13,41.459999084472656,1006.727285683562,27.09773192072703,0.0,1006.727285683562,0.0,sell,,41.459999084472656,2650.5400390625,2650.5400390625
2018-12-14,40.2400016784668,1006.727285683562,0.0,0.0,1006.727285683562,0.0,hold,,,2599.949951171875,2599.949951171875
2018-12-17,41.15999984741211,1006.676949319278,-0.05033636428390764,24.45765192058356,1.1368683772161603e-13,1006.6769493192779,buy,41.15999984741211,,2545.93994140625,2545.93994140625
2018-12-18,41.15999984741211,1006.5762816243462,-0.10066769493187167,0.0,1006.5762816243462,0.0,sell,,41.15999984741211,2546.159912109375,2546.159912109375
2018-12-19,41.099998474121094,1006.5259528102648,-0.05032881408135381,24.48968345933227,0.0,1006.5259528102648,buy,41.099998474121094,,2506.9599609375,2506.9599609375
2018-12-20,40.779998779296875,998.6892615769368,-7.836691233327997,24.48968345933227,0.0,998.6892615769368,hold,,,2467.419921875,2467.419921875
2018-12-21,40.88999938964844,1001.38314170478,2.6938801278431583,24.48968345933227,0.0,1001.38314170478,hold,,,2416.6201171875,2416.6201171875
2018-12-24,40.33000183105469,987.6689787568201,-13.714162947959835,24.48968345933227,0.0,987.6689787568201,hold,,,2351.10009765625,2351.10009765625
2018-12-26,42.150001525878906,1032.1369711596287,44.46799240280859,0.0,1032.1369711596287,0.0,sell,,42.150001525878906,2467.699951171875,2467.699951171875
2018-12-27,41.45000076293945,1032.1369711596287,0.0,0.0,1032.1369711596287,0.0,hold,,,2488.830078125,2488.830078125
2018-12-28,41.59000015258789,1032.1369711596287,0.0,0.0,1032.1369711596287,0.0,hold,,,2485.739990234375,2485.739990234375
2018-12-31,41.88999938964844,1032.1369711596287,0.0,0.0,1032.1369711596287,0.0,hold,,,2506.85009765625,2506.85009765625
2019-01-02,41.41999816894531,1032.0853643110709,-0.051606848557867124,24.917561804357536,0.0,1032.0853643110709,buy,41.41999816894531,,2510.030029296875,2510.030029296875
2019-01-03,40.22999954223633,1002.3332566329508,-29.75210767812007,0.0,1002.3332566329508,0.0,sell,,40.22999954223633,2447.889892578125,2447.889892578125
2019-01-04,42.77000045776367,1002.3332566329508,0.0,0.0,1002.3332566329508,0.0,hold,,,2531.93994140625,2531.93994140625
2019-01-07,42.939998626708984,1002.3332566329508,0.0,0.0,1002.3332566329508,0.0,hold,,,2549.68994140625,2549.68994140625
2019-01-08,43.0099983215332,1002.3332566329508,0.0,0.0,1002.3332566329508,0.0,hold,,,2574.409912109375,2574.409912109375
2019-01-09,43.41999816894531,1002.3332566329508,0.0,0.0,1002.3332566329508,0.0,hold,,,2584.9599609375,2584.9599609375
2019-01-10,41.5099983215332,1002.3332566329508,0.0,0.0,1002.3332566329508,0.0,hold,,,2596.639892578125,2596.639892578125
2019-01-11,41.25,1002.3332566329508,0.0,0.0,1002.3332566329508,0.0,hold,,,2596.260009765625,2596.260009765625
2019-01-14,41.08000183105469,1002.3332566329508,0.0,0.0,1002.3332566329508,0.0,hold,,,2582.610107421875,2582.610107421875
2019-01-15,41.310001373291016,1002.3332566329508,0.0,0.0,1002.3332566329508,0.0,hold,,,2610.300048828125,2610.300048828125
2019-01-16,41.16999816894531,1002.3332566329508,0.0,0.0,1002.3332566329508,0.0,hold,,,2616.10009765625,2616.10009765625
2019-01-17,41.66999816894531,1002.3332566329508,0.0,0.0,1002.3332566329508,0.0,hold,,,2635.9599609375,2635.9599609375
2019-01-18,41.93000030517578,1002.3332566329508,0.0,0.0,1002.3332566329508,0.0,hold,,,2670.7099609375,2670.7099609375
2019-01-22,40.599998474121094,1002.2831399701192,-0.050116662831555914,24.686777774363364,1.1368683772161603e-13,1002.2831399701191,buy,40.599998474121094,,2632.89990234375,2632.89990234375
2019-01-23,40.83000183105469,1007.8603856119234,5.577245641804211,0.0,1007.8603856119234,0.0,sell,,40.83000183105469,2638.699951171875,2638.699951171875
2019-01-24,40.849998474121094,1007.8099925926429,-0.050393019280591034,24.67099217227881,0.0,1007.8099925926429,buy,40.849998474121094,,2642.330078125,2642.330078125
2019-01-25,42.59000015258789,1050.6324866258112,42.82249403316837,0.0,1050.6324866258112,0.0,sell,,42.59000015258789,2664.760009765625,2664.760009765625
2019-01-28,42.689998626708984,1050.6324866258112,0.0,0.0,1050.6324866258112,0.0,hold,,,2643.85009765625,2643.85009765625
2019-01-29,43.11000061035156,1050.6324866258112,0.0,0.0,1050.6324866258112,0.0,hold,,,2640.0,2640.0
2019-01-30,44.439998626708984,1050.57995500148,-0.052531624331322746,23.640413759375512,0.0,1050.57995500148,buy,44.439998626708984,,2681.050048828125,2681.050048828125
2019-01-31,44.97999954223633,1063.345800074988,12.76584507350799,23.640413759375512,0.0,1063.345800074988,hold,,,2704.10009765625,2704.10009765625
2019-02-01,45.06999969482422,1065.4734409205726,2.127640845584665,23.640413759375512,0.0,1065.4734409205726,hold,,,2706.530029296875,2706.530029296875
2019-02-04,45.08000183105469,1065.7098955595386,0.2364546389660518,23.640413759375512,0.0,1065.7098955595386,hold,,,2724.8701171875,2724.8701171875
2019-02-05,45.06999969482422,1065.4734409205726,-0.2364546389660518,23.640413759375512,0.0,1065.4734409205726,hold,,,2737.699951171875,2737.699951171875
2019-02-06,44.790000915527344,1058.8541539258745,-6.619286994698086,23.640413759375512,0.0,1058.8541539258745,hold,,,2731.610107421875,2731.610107421875
2019-02-07,44.470001220703125,1051.289228737356,-7.564925188518373,23.640413759375512,0.0,1051.289228737356,hold,,,2706.050048828125,2706.050048828125
2019-02-08,44.560001373291016,1053.4168695829408,2.127640845584665,23.640413759375512,0.0,1053.4168695829408,hold,,,2707.8798828125,2707.8798828125
2019-02-11,44.599998474121094,1054.362417595739,0.9455480127983265,23.640413759375512,0.0,1054.362417595739,hold,,,2709.800048828125,2709.800048828125
2019-02-12,44.939998626708984,1062.2939218649794,7.9315042692403495,0.0,1062.2939218649794,0.0,sell,,44.939998626708984,2744.72998046875,2744.72998046875
2019-02-13,45.47999954223633,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2753.030029296875,2753.030029296875
2019-02-14,45.63999938964844,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2745.72998046875,2745.72998046875
2019-02-15,46.459999084472656,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2775.60009765625,2775.60009765625
2019-02-19,46.88999938964844,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2779.760009765625,2779.760009765625
2019-02-20,47.61000061035156,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2784.699951171875,2784.699951171875
2019-02-21,46.790000915527344,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2774.8798828125,2774.8798828125
2019-02-22,47.65999984741211,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2792.669921875,2792.669921875
2019-02-25,47.470001220703125,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2796.110107421875,2796.110107421875
2019-02-26,47.959999084472656,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2793.89990234375,2793.89990234375
2019-02-27,47.79999923706055,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2792.3798828125,2792.3798828125
2019-02-28,46.369998931884766,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2784.489990234375,2784.489990234375
2019-03-01,45.970001220703125,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2803.68994140625,2803.68994140625
2019-03-04,46.09000015258789,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2792.81005859375,2792.81005859375
2019-03-05,46.130001068115234,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2789.64990234375,2789.64990234375
2019-03-06,46.45000076293945,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2771.449951171875,2771.449951171875
2019-03-07,45.20000076293945,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2748.929931640625,2748.929931640625
2019-03-08,45.06999969482422,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2743.070068359375,2743.070068359375
2019-03-11,45.66999816894531,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2783.300048828125,2783.300048828125
2019-03-12,45.790000915527344,1062.2939218649794,0.0,0.0,1062.2939218649794,0.0,hold,,,2791.52001953125,2791.52001953125
2019-03-13,46.459999084472656,1062.2408071688862,-0.053114696093189195,22.863556351724004,0.0,1062.2408071688862,buy,46.459999084472656,,2810.919921875,2810.919921875
2019-03-14,45.900001525878906,1049.43727143115,-12.803535737736183,22.863556351724004,0.0,1049.43727143115,hold,,,2808.47998046875,2808.47998046875
2019-03-15,45.66999816894531,1044.1785767188132,-5.258694712336819,22.863556351724004,0.0,1044.1785767188132,hold,,,2822.47998046875,2822.47998046875
