Date,High,Low,Open,Close,Volume,Adj Close
2018-09-24,330990,326940,330300,327840,3,327840
2018-09-25,328500,326280,328101,328500,2,328500
2018-09-26,328100,324286,328100,324286,3,324286
2018-09-27,326500,323112,324401,324731,3,324731
2018-09-28,324500,320000,324500,320000,4,320000
2018-10-01,324100,320910,323165,321930,5,321930
2018-10-02,323330,321150,321280,322900,2,322900
2018-10-03,326506,323175,323175,323878,4,323878
2018-10-04,328410,324325,324325,327900,2,327900
2018-10-05,330120,328190,328700,329500,2,329500
2018-10-08,334070,329150,329150,333337,2,333337
2018-10-09,335900,331800,332700,335630,5,335630
2018-10-10,335441,319100,334830,319100,5,319100
2018-10-11,317990,305000,316110,308000,8,308000
